epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,276.504,2.56089,0.86712,0.99041,0.77696,0.000150829,0.000150829,0.000150829
2,529.158,0.74129,0.97808,1,0.13983,0.000282531,0.000282531,0.000282531
3,779.882,0.43609,0.97945,1,0.07367,0.000394213,0.000394213,0.000394213
4,1031.09,0.36391,0.98767,1,0.05226,0.00036491,0.00036491,0.00036491
5,1281.3,0.32846,0.98904,0.99863,0.05169,0.00033488,0.00033488,0.00033488
6,1532.46,0.3031,0.99041,1,0.03259,0.00030485,0.00030485,0.00030485
7,1783.64,0.25774,0.98767,1,0.03458,0.00027482,0.00027482,0.00027482
8,2029.65,0.2756,0.99041,1,0.03266,0.00024479,0.00024479,0.00024479
9,2269.34,0.24459,0.99315,1,0.02844,0.00021476,0.00021476,0.00021476
10,2510.27,0.22689,0.99452,1,0.03103,0.00018473,0.00018473,0.00018473
11,2751.88,0.20778,0.99041,1,0.03292,0.0001547,0.0001547,0.0001547
12,2991.52,0.20038,0.99178,1,0.02204,0.00012467,0.00012467,0.00012467
13,3231.57,0.20145,0.99315,1,0.01931,9.464e-05,9.464e-05,9.464e-05
14,3471.74,0.19588,0.99452,1,0.0153,6.461e-05,6.461e-05,6.461e-05
15,3711.32,0.18385,0.99178,1,0.01784,3.458e-05,3.458e-05,3.458e-05
